NNets, Digits, seed = 100 , hidden_size = 10
zero,seven,four,six,two,five,eight,one,nine,three,
0,0,0,0,1,2,5,0,1,127,three

(0.8938835666912307, 0.016386943123577954)
NNets, Digits, seed = 102 , hidden_size = 100
zero,seven,four,six,two,five,eight,one,nine,three,
127,0,0,0,0,0,0,0,0,0,zero
0,125,2,0,0,1,0,0,3,2,seven
0,7,113,3,0,0,1,3,1,0,four
0,0,2,134,0,0,1,4,0,0,six
1,2,0,2,129,0,2,2,0,1,two
0,2,1,0,1,126,0,2,5,0,five
0,1,1,0,1,0,111,12,3,2,eight
0,0,3,1,3,0,4,130,2,0,one
0,1,4,0,0,2,3,5,119,8,nine
0,3,0,0,0,2,2,0,1,128,three

(0.9152542372881356, 0.014818219306631904)
NNets, Digits, seed = 103 , hidden_size = 10
zero,seven,four,six,two,five,eight,one,nine,three,
116,0,2,5,0,9,0,0,8,0,zero
0,127,1,1,0,0,6,3,0,1,seven
1,11,112,8,0,0,8,7,0,0,four
2,0,9,120,0,4,4,2,0,0,six
3,1,1,0,83,11,39,1,14,3,two
15,0,3,6,6,82,0,2,21,9,five
0,1,2,0,7,4,103,12,4,13,eight
1,1,8,0,2,3,6,107,1,0,one
2,6,7,0,16,11,5,2,49,34,nine
0,2,0,1,9,10,7,0,15,107,three

(0.7059649122807018, 0.023655916397742404)
NNets, Digits, seed = 103 , hidden_size = 20
zero,seven,four,six,two,five,eight,one,nine,three,
129,0,0,1,3,4,0,3,0,0,zero
0,131,1,0,0,1,2,0,4,0,seven
0,4,129,3,0,1,5,2,3,0,four
2,0,0,133,0,0,0,6,0,0,six
0,1,1,0,127,0,7,5,3,12,two
0,0,0,1,0,126,1,0,14,2,five
0,2,7,0,3,2,107,20,5,0,eight
0,0,1,2,4,0,4,113,5,0,one
0,7,2,0,2,14,10,3,90,4,nine
0,3,0,0,6,8,3,1,3,127,three

(0.8505263157894737, 0.018512918382522916)
NNets, Digits, seed = 103 , hidden_size = 50
zero,seven,four,six,two,five,eight,one,nine,three,
136,0,0,1,1,0,0,2,0,0,zero
1,130,0,0,2,1,1,0,2,2,seven
0,0,138,2,0,0,0,3,3,1,four
0,0,3,134,0,0,0,4,0,0,six
0,2,0,0,145,1,5,0,1,2,two
0,1,0,2,1,125,1,0,9,5,five
0,2,2,0,9,1,119,8,1,4,eight
0,0,1,1,0,3,7,114,3,0,one
0,5,5,0,1,2,6,3,109,1,nine
1,3,0,0,1,5,5,0,2,134,three

(0.9010526315789473, 0.015503360400883645)
NNets, Digits, seed = 103 , hidden_size = 100
zero,seven,four,six,two,five,eight,one,nine,three,
139,0,0,0,0,0,1,0,0,0,zero
0,130,0,0,0,1,1,1,5,1,seven
0,4,134,1,0,0,2,2,4,0,four
0,0,2,134,0,0,1,4,0,0,six
1,2,0,0,148,0,1,3,0,1,two
0,0,1,0,1,136,0,0,5,1,five
0,2,1,2,0,4,127,7,3,0,eight
0,0,0,0,2,1,3,120,3,0,one
0,1,4,0,0,2,3,5,114,3,nine
0,1,0,0,3,6,0,0,1,140,three

(0.927719298245614, 0.013445226251274551)
NNets, Digits, seed = 104 , hidden_size = 10
zero,seven,four,six,two,five,eight,one,nine,three,
121,0,2,1,0,8,0,0,10,1,zero
0,152,2,1,0,0,2,0,1,4,seven
1,7,108,11,0,0,6,7,0,0,four
1,0,14,127,0,2,4,1,0,0,six
3,0,1,0,73,11,25,2,4,5,two
16,0,1,4,7,82,0,1,16,7,five
0,0,2,0,15,5,82,11,7,14,eight
0,3,10,0,3,3,4,117,0,0,one
0,7,2,2,16,16,13,0,58,40,nine
1,4,3,0,10,7,13,0,9,94,three

(0.7125790583274771, 0.023514153705434943)
NNets, Digits, seed = 104 , hidden_size = 20
zero,seven,four,six,two,five,eight,one,nine,three,
136,1,0,1,2,1,0,1,0,1,zero
0,148,2,0,2,1,4,0,3,2,seven
1,2,124,6,0,0,1,1,5,0,four
2,0,0,136,0,2,4,5,0,0,six
0,0,0,2,102,0,5,5,3,7,two
1,2,0,0,1,118,0,1,10,1,five
1,3,4,3,5,2,95,19,4,0,eight
0,0,2,2,3,0,6,127,0,0,one
3,10,1,0,4,12,8,0,109,7,nine
0,2,0,1,5,6,1,0,2,124,three

(0.8566408995080815, 0.018208143093749404)
NNets, Digits, seed = 104 , hidden_size = 50
zero,seven,four,six,two,five,eight,one,nine,three,
142,0,0,0,1,0,0,0,0,0,zero
0,154,1,0,1,1,0,0,2,3,seven
0,0,131,4,0,0,0,3,2,0,four
0,0,1,146,0,0,0,2,0,0,six
0,1,1,0,117,1,1,1,1,1,two
0,0,0,0,0,124,1,0,8,1,five
1,4,1,0,8,4,103,9,1,5,eight
0,0,0,3,0,2,5,127,2,1,one
0,3,5,0,0,3,4,1,138,0,nine
0,2,0,0,3,3,3,0,1,129,three

(0.921293042867182, 0.01399133252620218)
NNets, Digits, seed = 104 , hidden_size = 100
zero,seven,four,six,two,five,eight,one,nine,three,
142,0,0,0,0,0,1,0,0,0,zero
0,155,1,0,0,1,2,0,2,1,seven
0,1,128,4,0,0,1,4,2,0,four
0,0,3,139,0,1,2,4,0,0,six
0,1,0,0,116,0,1,3,2,1,two
0,0,0,0,0,130,0,1,3,0,five
0,3,1,3,2,2,110,13,1,1,eight
0,0,2,1,0,0,3,132,1,1,one
1,0,5,0,0,1,2,1,140,4,nine
0,1,0,0,1,3,1,1,2,132,three

(0.9304286718200984, 0.013219356386509869)
NNets, Digits, seed = 105 , hidden_size = 10
zero,seven,four,six,two,five,eight,one,nine,three,
124,0,2,4,0,10,0,0,10,0,zero
0,128,0,0,0,0,2,2,0,6,seven
0,7,99,5,0,2,7,17,0,0,four
1,0,11,132,0,3,7,1,0,0,six
3,0,2,0,84,10,35,2,3,2,two
13,0,4,4,5,80,0,1,14,3,five
0,1,2,0,7,4,67,24,7,12,eight
1,4,8,0,0,5,4,99,1,0,one
0,4,2,1,15,12,8,0,59,23,nine
0,6,2,0,8,10,8,0,16,95,three

(0.7110294117647059, 0.024091132766470482)
NNets, Digits, seed = 105 , hidden_size = 20
zero,seven,four,six,two,five,eight,one,nine,three,
138,2,2,1,1,4,0,0,1,1,zero
1,128,4,0,0,2,1,0,2,0,seven
0,3,117,1,0,1,3,4,8,0,four
1,0,0,147,0,1,1,5,0,0,six
2,1,1,0,114,0,7,6,4,6,two
1,0,0,0,1,109,0,1,12,0,five
1,2,6,1,2,1,88,18,4,1,eight
0,0,3,2,6,0,8,99,4,0,one
0,3,1,0,2,13,4,3,95,3,nine
0,2,0,0,5,3,1,0,4,130,three

(0.8566176470588235, 0.018626359342064434)
NNets, Digits, seed = 105 , hidden_size = 50
zero,seven,four,six,two,five,eight,one,nine,three,
148,0,1,1,0,0,0,0,0,0,zero
0,132,0,0,1,2,0,0,3,0,seven
0,0,124,2,0,0,0,7,3,1,four
1,0,3,147,1,0,1,2,0,0,six
